Method,CountGen,MeanGen,StdGen,CountFor,MeanFor,StdFor,AUC,EER,Prec1,Prec5,LogLoss,ECE
SigNet,1104,0.1591,0.0983,1032,0.3174,0.1660,0.8032,0.2818,1.0000,1.0000,0.6041,0.1068
SigNet-F,1104,0.0939,0.0556,1032,0.2100,0.1147,0.8303,0.2734,1.0000,1.0000,0.6295,0.1816
avg,1104,0.1265,0.0737,1032,0.2637,0.1360,0.8214,0.2701,1.0000,1.0000,0.6141,0.1413
w=0.0,1104,0.0939,0.0556,1032,0.2100,0.1147,0.8303,0.2734,1.0000,1.0000,0.6295,0.1816
w=0.1,1104,0.1005,0.0584,1032,0.2207,0.1180,0.8300,0.2725,1.0000,1.0000,0.6260,0.1744
w=0.2,1104,0.1070,0.0616,1032,0.2315,0.1218,0.8288,0.2734,1.0000,1.0000,0.6228,0.1661
w=0.3,1104,0.1135,0.0653,1032,0.2422,0.1262,0.8267,0.2715,1.0000,1.0000,0.6197,0.1567
w=0.4,1104,0.1200,0.0693,1032,0.2530,0.1309,0.8242,0.2683,1.0000,1.0000,0.6168,0.1476
w=0.5,1104,0.1265,0.0737,1032,0.2637,0.1360,0.8214,0.2701,1.0000,1.0000,0.6141,0.1413
w=0.6,1104,0.1331,0.0782,1032,0.2745,0.1415,0.8181,0.2725,1.0000,1.0000,0.6117,0.1308
w=0.7,1104,0.1396,0.0830,1032,0.2852,0.1473,0.8145,0.2711,1.0000,1.0000,0.6094,0.1203
w=0.8,1104,0.1461,0.0880,1032,0.2960,0.1533,0.8108,0.2743,1.0000,1.0000,0.6074,0.1140
w=0.9,1104,0.1526,0.0931,1032,0.3067,0.1596,0.8070,0.2762,1.0000,1.0000,0.6056,0.1039
w=1.0,1104,0.1591,0.0983,1032,0.3174,0.1660,0.8032,0.2818,1.0000,1.0000,0.6041,0.1068
min,1104,0.0927,0.0551,1032,0.2082,0.1135,0.8319,0.2692,1.0000,1.0000,0.6298,0.1825
max,1104,0.1604,0.0978,1032,0.3193,0.1657,0.8045,0.2809,1.0000,1.0000,0.6033,0.1078
